mean_intensity,std_intensity,min_intensity,max_intensity,label
0.5125496,0.23875684,0.0,0.9490196,0
0.48368904,0.21733788,0.0,0.9882353,0
0.44091186,0.2441148,0.0,1.0,0
0.4705982,0.22636344,0.0,0.94509804,0
0.45764026,0.2531588,0.0,1.0,0
0.47485766,0.24856949,0.0,0.9372549,0
0.4183836,0.27199993,0.0,0.92941177,0
0.4258056,0.272316,0.0,1.0,0
0.6244724,0.23545021,0.0,1.0,0
0.46232793,0.29406163,0.0,0.9843137,0
0.49325764,0.24412383,0.0,1.0,0
0.49564698,0.2504017,0.0,0.95686275,0
0.45265478,0.22215599,0.0,0.9882353,0
0.45732024,0.25304368,0.0,0.9647059,0
0.4806881,0.22814253,0.0,0.93333334,0
0.5737968,0.17605656,0.0,0.8980392,0
0.47847557,0.24839257,0.0,0.90588236,0
0.44541267,0.23367329,0.0,0.9098039,0
0.5356665,0.24175858,0.0,0.972549,0
0.4728852,0.25618353,0.0,0.99607843,0
0.5243742,0.2532174,0.0,0.9411765,0
0.41184983,0.22244626,0.0,0.9019608,0
0.46391848,0.2467845,0.0,0.9764706,0
0.49816665,0.23400608,0.0,0.92941177,0
0.50564784,0.23308651,0.0,0.9607843,0
0.47171596,0.23336151,0.0,0.93333334,0
0.49311444,0.20368981,0.0,0.8666667,0
0.5224736,0.2449263,0.0,0.9607843,0
0.4724887,0.26445392,0.0,0.99607843,0
0.51283836,0.21704681,0.0,0.87058824,0
0.46438184,0.22103986,0.0,0.90588236,0
0.50698864,0.23084635,0.0,1.0,0
0.51953346,0.21120347,0.0,0.98039216,0
0.46802738,0.24078153,0.0,0.9411765,0
0.5373629,0.2671349,0.0,0.972549,0
0.4614292,0.23923247,0.0,0.92941177,0
0.49591696,0.24289079,0.0,0.972549,0
0.5047881,0.23622192,0.0,0.9647059,0
0.46466303,0.23400724,0.0,0.9843137,0
0.5289636,0.23846222,0.0,1.0,0
0.46725422,0.23356973,0.0,0.9764706,0
0.49177542,0.22562489,0.0,0.9882353,0
0.5409328,0.24419884,0.0,0.99215686,0
0.45881984,0.26140296,0.0,0.95686275,0
0.48590782,0.2368144,0.0,0.9607843,0
0.4772109,0.22883981,0.0,0.94509804,0
0.4204891,0.22430573,0.0,0.85490197,0
0.476242,0.25839493,0.0,0.9490196,0
0.4547019,0.242157,0.0,0.99607843,0
0.4292555,0.19438346,0.0,0.8627451,0
0.46586978,0.25002685,0.0,0.9490196,0
0.52928317,0.21961671,0.0,0.96862745,0
0.51183605,0.21834473,0.0,0.9098039,0
0.5143134,0.24139248,0.0,0.96862745,0
0.6111974,0.287388,0.0,1.0,0
0.45936292,0.24039826,0.0,0.99215686,0
0.4344857,0.2709154,0.0,0.99607843,0
0.42525145,0.26025262,0.0,0.9882353,0
0.47719923,0.21217886,0.0,0.9411765,0
0.52623135,0.24114396,0.0,0.9529412,0
0.49355164,0.23481332,0.0,0.98039216,0
0.5445565,0.24267139,0.0,1.0,0
0.4852076,0.23213187,0.0,0.9529412,0
0.4540138,0.24760056,0.0,0.91764706,0
0.49774018,0.24593352,0.0,1.0,0
0.4306039,0.25507793,0.0,0.9254902,0
0.49448848,0.2342456,0.0,0.92156863,0
0.561198,0.23912853,0.0,1.0,0
0.5041613,0.2485368,0.0,0.9882353,0
0.4803145,0.24763776,0.0,0.96862745,0
0.42599514,0.26876104,0.0,0.99607843,0
0.43213746,0.24846771,0.0,0.93333334,0
0.47311652,0.25292012,0.0,1.0,0
0.46388972,0.26495686,0.0,1.0,0
0.43110684,0.25299558,0.0,1.0,0
0.41910943,0.27554387,0.0,0.972549,0
0.4943066,0.26180506,0.0,0.9882353,0
0.42956835,0.21624643,0.0,0.91764706,0
0.41642806,0.22455794,0.0,0.84313726,0
0.4282049,0.22120555,0.0,1.0,0
0.4912192,0.2509448,0.0,0.99607843,0
0.54244345,0.24307917,0.0,0.9843137,0
0.50673425,0.23363315,0.0,0.9764706,0
0.51615417,0.2204113,0.0,1.0,0
0.49659532,0.22163668,0.0,0.94509804,0
0.35957414,0.18579392,0.0,0.9019608,0
0.46726295,0.24932562,0.0,0.99215686,0
0.46557006,0.25171614,0.0,0.99607843,0
0.44746026,0.27382728,0.0,1.0,0
0.47854504,0.26342887,0.0,0.9882353,0
0.426154,0.23213342,0.0,0.9137255,0
0.44650212,0.24290688,0.0,0.92941177,0
0.5236224,0.22798422,0.0,0.98039216,0
0.449329,0.23192418,0.0,0.9647059,0
0.44226667,0.23313895,0.0,0.99215686,0
0.47899923,0.24258298,0.0,0.9882353,0
0.5677418,0.20520529,0.0,0.94509804,0
0.45858455,0.27192843,0.0,0.9882353,0
0.46310607,0.23971418,0.0,0.99607843,0
0.48304582,0.22165005,0.0,0.9254902,0
0.5157994,0.2283647,0.0,0.99215686,0
0.5067217,0.19127087,0.0,0.85882354,0
0.50647867,0.2619406,0.0,0.99215686,0
0.4864217,0.2613121,0.0,0.96862745,0
0.5373082,0.2433328,0.0,0.96862745,0
0.4895918,0.24048407,0.0,0.95686275,0
0.4730876,0.24369778,0.0,0.9607843,0
0.55968213,0.23120074,0.0,0.9647059,0
0.5144282,0.2384994,0.0,1.0,0
0.50835824,0.22773302,0.0,1.0,0
0.4410199,0.22665794,0.0,0.8784314,0
0.43818712,0.2180195,0.0,0.93333334,0
0.49818316,0.23022267,0.0,1.0,0
0.5152066,0.2414317,0.0,0.96862745,0
0.5191353,0.23764026,0.0,0.99607843,0
0.5102863,0.23845513,0.0,0.95686275,0
0.51740813,0.28214207,0.0,0.99607843,0
0.5092318,0.23939985,0.0,1.0,0
0.45554864,0.22546291,0.0,0.99215686,0
0.49406704,0.2618501,0.0,0.99607843,0
0.54854506,0.24455744,0.0,0.96862745,0
0.51036227,0.2539555,0.0,0.9843137,0
0.40126598,0.19892497,0.0,0.85882354,0
0.54574853,0.21956986,0.0,1.0,0
0.46151727,0.2532281,0.0,0.98039216,0
0.43252993,0.25671643,0.0,0.99607843,0
0.4362231,0.24822618,0.0,0.9882353,0
0.530149,0.2584554,0.0,0.972549,0
0.4526332,0.22649959,0.0,0.9843137,0
0.5136769,0.25399077,0.0,0.972549,0
0.35815015,0.22063789,0.0,0.8901961,0
0.5740388,0.22735149,0.003921569,0.95686275,0
0.47059423,0.26647115,0.0,0.96862745,0
0.5809878,0.23382016,0.0,0.9607843,0
0.44716796,0.26487896,0.0,0.9843137,0
0.5085738,0.25456306,0.0,0.96862745,0
0.49747175,0.23659772,0.0,0.9647059,0
0.53926,0.25865063,0.0,0.99215686,0
0.47681868,0.24167533,0.0,0.9882353,0
0.49334675,0.21524549,0.0,0.9529412,0
0.40932575,0.26290172,0.0,0.972549,0
0.4844758,0.23479435,0.0,0.9843137,0
0.44905236,0.22854127,0.0,0.88235295,0
0.49612817,0.2653818,0.0,0.9882353,0
0.46691763,0.22630839,0.0,1.0,0
0.45673573,0.27668,0.0,0.99607843,0
0.48768428,0.19813941,0.0,0.96862745,0
0.48867664,0.262186,0.0,1.0,0
0.52365357,0.21663192,0.0,1.0,0
0.4631959,0.255504,0.0,1.0,0
0.46962908,0.24159099,0.0,0.9647059,0
0.4993002,0.26286584,0.0,0.98039216,0
0.44204214,0.24084975,0.0,0.98039216,0
0.47263238,0.25257307,0.0,0.9254902,0
